,director,link,city,state,country,nm_film_directed,nm_of_wins,nm_of_nominations
0,Abbas Kiarostami,http://www.imdb.com/name/nm0452102/?ref_=sr_t_1,Tehran,,Iran,48,40,38
1,Abdellatif Kechiche,http://www.imdb.com/name/nm0444244/?ref_=sr_t_1,Tunis,,Tunisia,9,62,46
2,Abderrahmane Sissako,http://www.imdb.com/name/nm0803066/?ref_=sr_t_1,Kiffa,,Mauritania,18,39,16
3,Adam Curtis,http://www.imdb.com/name/nm0193231/?ref_=sr_t_1,Dartford,Kent,"England, UK",30,11,1
4,Adam McKay,http://www.imdb.com/name/nm0570912/?ref_=sr_t_1,Philadelphia,Pennsylvania,USA,26,43,98
5,Agnieszka Holland,http://www.imdb.com/name/nm0002140/?ref_=sr_t_1,Warsaw,Mazowieckie,Poland,47,62,66
6,Agnès Jaoui,http://www.imdb.com/name/nm0418450/?ref_=sr_t_1,Antony,Hauts-de-Seine,France,6,23,16
7,Agnès Varda,http://www.imdb.com/name/nm0889513/?ref_=sr_t_1,Ixelles,,Belgium,63,73,37
8,Aki Kaurismäki,http://www.imdb.com/name/nm0442454/?ref_=sr_t_1,Orimattila,,Finland,39,60,95
9,Alain Cavalier,http://www.imdb.com/name/nm0146760/?ref_=sr_t_1,Vendôme,Loir-et-Cher,France,39,17,17
10,Alain Gomis,http://www.imdb.com/name/nm0327120/?ref_=sr_t_1,Paris,,France,11,19,28
11,Alain Guiraudie,http://www.imdb.com/name/nm0347492/?ref_=sr_t_1,Villefranche-de-Rouergue,Aveyron,France,14,19,44
12,Alain Resnais,http://www.imdb.com/name/nm0720297/?ref_=sr_t_1,Vannes,Morbihan,France,49,60,55
13,Alan Mak,http://www.imdb.com/name/nm0538320/?ref_=sr_t_1,,,Hong Kong,21,14,28
14,Albert Serra,http://www.imdb.com/name/nm2247200/?ref_=sr_t_1,Banyoles,Girona,"Catalonia, Spain",21,28,44
15,Alejandro González Iñárritu,http://www.imdb.com/name/nm0327944/?ref_=fn_all_nme_1,Mexico City,Distrito Federal,Mexico,23,136,173
16,Aleksandr Sokurov,http://www.imdb.com/name/nm0812546/?ref_=sr_t_1,Podorvikha,Irkutskaya oblast,"RSFSR, USSR [now Russia]",63,51,52
17,Aleksey Fedorchenko,http://www.imdb.com/name/nm1922735/?ref_=sr_t_1,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast",Orenburgskaya oblast,"RSFSR, USSR [now Russia]",18,32,46
18,Aleksey German,http://www.imdb.com/name/nm0314516/?ref_=sr_t_1,Leningrad,Russian SFSR,"USSR [now St. Petersburg, Russia]",6,13,4
19,Alex Garland,http://www.imdb.com/name/nm0307497/?ref_=sr_t_1,London,England,UK,6,22,74
20,Alexander Payne,http://www.imdb.com/name/nm0668247/?ref_=sr_t_1,Omaha,Nebraska,USA,16,87,141
21,Alfonso Cuarón,http://www.imdb.com/name/nm0190859/?ref_=sr_t_1,Mexico City,Distrito Federal,Mexico,20,262,208
22,Amma Asante,http://www.imdb.com/name/nm1392994/?ref_=sr_t_1,Streatham,London,"England, UK",10,13,10
