,director,nm_film_directed
0,Abbas Kiarostami,48
1,Abdellatif Kechiche,9
2,Abderrahmane Sissako,18
3,Adam Curtis,30
4,Adam McKay,26
5,Agnieszka Holland,47
6,Agnès Jaoui,6
7,Agnès Varda,63
8,Aki Kaurismäki,39
9,Alain Cavalier,39
10,Alain Gomis,11
11,Alain Guiraudie,14
12,Alain Resnais,49
13,Alan Mak,21
14,Albert Serra,21
15,Alejandro González Iñárritu,23
16,Aleksandr Sokurov,63
17,Aleksey Fedorchenko,18
18,Aleksey German,6
19,Alex Garland,6
20,Alexander Payne,16
21,Alfonso Cuarón,20
22,Amma Asante,10
23,Ana Lily Amirpour,21
24,Andrea Arnold,17
25,Andrew Adamson,11
26,Andrew Dominik,20
27,Andrew Dosunmu,12
28,Andrew Haigh,15
29,Andrew Stanton,20
30,Andrey Zvyagintsev,9
31,Andrzej Wajda,60
32,Andrzej Zulawski,17
33,André Singer,7
34,Ang Lee,22
35,Angela Ricci Lucchi,51
36,Annemarie Jacir,13
37,Anthony Russo,28
38,Antonio Di Trapani,6
39,Anurag Kashyap,40
40,Apichatpong Weerasethakul,58
41,Ari Folman,7
42,Arnaud Desplechin,20
43,Asghar Farhadi,11
44,Ashutosh Gowariker,10
45,Asif Kapadia,26
46,Ava DuVernay,23
47,Avi Nesher,23
48,Bahman Ghobadi,12
49,Bart Layton,9
50,Baz Luhrmann,21
51,Bazi Gete,Not Available
52,Ben Rivers,40
53,Ben Stiller,23
54,Ben Wheatley,26
55,Benh Zeitlin,7
56,Benny Safdie,23
57,Bong Joon-ho,17
58,Boo Junfeng,9
59,Bouli Lanners,7
60,Brad Bird,12
61,Brian De Palma,44
62,Brian Taylor,8
63,Béla Tarr,18
64,Cameron Crowe,15
65,Carlos Reygadas,13
66,Carlos Saura,52
67,Carol Morley,10
68,Cary Joji Fukunaga,15
69,Catherine Breillat,20
70,Chaitanya Tamhane,3
71,Chantal Akerman,51
72,Charles Burnett,32
73,Charlie Kaufman,5
74,Chris Buck,10
75,Christian Marclay,15
76,Christian Petzold,20
77,Christopher Guest,17
78,Christopher Morris,8
79,Christopher Nolan,18
80,Claire Denis,36
81,Claude Lanzmann,11
82,Clint Eastwood,45
83,Clio Barnard,10
84,Conrad Vernon,10
85,Corneliu Porumboiu,13
86,Courtney Hunt,9
87,Cristi Puiu,10
